time,open,high,low,close,tick_volume,real_volume,ATR,result,Supertrend_Direction,RSI,MACD,MACD_signal,MACD_diff,EMA_21,Day of the week,Is Weekend,Month,hour,high_liquidity
2025-01-28 14:00:00,2748.979,2751.374,2748.956,2751.02,3068,0,,Hold,1,,,,,2751.02,1,False,28,14,1
2025-01-28 14:15:00,2750.979,2754.695,2750.074,2754.007,3240,0,,Hold,1,,,,,2751.2915454545455,1,False,28,14,1
2025-01-28 14:30:00,2754.041,2756.416,2752.98,2753.7,6339,0,,Hold,1,,,,,2751.510495867769,1,False,28,14,1
2025-01-28 14:45:00,2753.669,2755.886,2753.263,2753.616,4654,0,,Hold,1,,,,,2751.7019053343356,1,False,28,14,1
2025-01-28 15:00:00,2753.647,2755.467,2751.144,2755.258,4426,0,,Hold,1,,,,,2752.0251866675776,1,False,28,15,0
2025-01-28 15:15:00,2755.213,2757.013,2754.489,2756.175,4646,0,,Hold,1,,,,,2752.4024424250706,1,False,28,15,0
2025-01-28 15:30:00,2756.14,2757.203,2754.677,2756.63,3719,0,,Hold,1,,,,,2752.786765840973,1,False,28,15,0
2025-01-28 15:45:00,2756.652,2757.284,2754.987,2755.41,2393,0,,Hold,1,,,,,2753.025241673612,1,False,28,15,0
2025-01-28 16:00:00,2755.405,2758.511,2755.328,2757.535,3381,0,,Hold,1,,,,,2753.4352197032836,1,False,28,16,0
2025-01-28 16:15:00,2757.567,2758.283,2756.527,2757.504,3747,0,,Hold,1,,,,,2753.805108821167,1,False,28,16,0
2025-01-28 16:30:00,2757.508,2758.434,2755.302,2757.435,3207,0,,Hold,1,,,,,2754.1350989283333,1,False,28,16,0
2025-01-28 16:45:00,2757.436,2759.777,2757.394,2758.749,2871,0,,Hold,1,,,,,2754.554544480303,1,False,28,16,0
2025-01-28 17:00:00,2758.724,2759.391,2757.748,2758.796,2465,0,,Hold,1,,,,,2754.9401313457297,1,False,28,17,0
2025-01-28 17:15:00,2758.784,2759.189,2757.935,2758.206,2343,0,2.7227857142857244,Buy,1,77.15234654770406,,,,2755.237028496118,1,False,28,17,0
2025-01-28 17:30:00,2758.241,2759.284,2757.543,2758.615,2804,0,2.674428571428604,Buy,1,78.48378781917296,,,,2755.5441168146526,1,False,28,17,0
2025-01-28 17:45:00,2758.564,2760.092,2757.77,2759.742,2956,0,2.51021428571432,Buy,1,81.65598453584931,,,,2755.9257425587753,1,False,28,17,0
2025-01-28 18:00:00,2759.773,2761.27,2759.266,2760.555,3172,0,2.4079285714285885,Buy,1,83.54113293393462,,,,2756.3465841443413,1,False,28,18,0
2025-01-28 18:15:00,2760.592,2760.898,2759.498,2759.854,2181,0,2.3205714285714487,Buy,1,76.2636548569276,,,,2756.665440131219,1,False,28,18,0
2025-01-28 18:30:00,2759.811,2763.198,2759.699,2762.688,2081,0,2.2617142857142687,Buy,1,82.7906307601038,,,,2757.2129455738354,1,False,28,18,0
2025-01-28 18:45:00,2762.725,2763.627,2762.139,2762.274,1824,0,2.1877142857142644,Hold,1,79.35764417461621,,,,2757.6730414307594,1,False,28,18,0
2025-01-28 19:00:00,2762.233,2763.973,2761.258,2762.876,1941,0,2.2012142857142862,Hold,1,80.61630391344062,,,,2758.1460376643267,1,False,28,19,0
2025-01-28 19:15:00,2762.826,2764.317,2762.187,2764.109,1929,0,2.1892857142857207,Hold,1,82.91422463490676,,,,2758.688125149388,1,False,28,19,0
2025-01-28 19:30:00,2764.062,2764.975,2763.581,2764.187,1575,0,2.0614999999999912,Hold,1,83.0511096564945,,,,2759.18802286308,1,False,28,19,0
2025-01-28 19:45:00,2764.22,2765.091,2763.828,2764.908,1207,0,2.02628571428571,Hold,1,84.30299185961877,,,,2759.708020784618,1,False,28,19,0
2025-01-28 20:00:00,2764.868,2765.149,2763.621,2764.874,1575,0,1.9117142857142624,Hold,1,83.98795054203319,,,,2760.1776552587435,1,False,28,20,0
2025-01-28 20:15:00,2764.831,2764.983,2762.467,2762.979,1637,0,1.9212142857142485,Hold,1,68.60049655346933,2.7466137237229304,,,2760.432322962494,1,False,28,20,0
2025-01-28 20:30:00,2763.018,2765.076,2762.913,2764.908,1851,0,1.9583571428571045,Hold,1,73.85212387475514,2.7503412740288695,,,2760.839202693176,1,False,28,20,0
2025-01-28 20:45:00,2764.899,2765.132,2763.837,2764.249,2528,0,1.961285714285688,Hold,1,69.57119091409565,2.669348998352689,,,2761.1491842665237,1,False,28,20,0
2025-01-28 21:00:00,2764.282,2764.409,2762.982,2763.257,839,0,1.938857142857127,Hold,1,63.595190097612374,2.4963396769730934,,,2761.340803878658,1,False,28,21,0
2025-01-28 21:15:00,2763.237,2763.808,2762.968,2763.264,606,0,1.8329999999999864,Hold,1,63.61893813000268,2.3329011525079295,,,2761.5156398896893,1,False,28,21,0
2025-01-28 21:30:00,2763.241,2763.844,2762.996,2763.811,452,0,1.7504285714285612,Hold,1,65.51219023744889,2.2219005860183643,,,2761.7243089906265,1,False,28,21,0
2025-01-28 21:45:00,2763.783,2763.933,2763.183,2763.681,562,0,1.7039999999999833,Hold,1,64.65109796411687,2.099243155451859,,,2761.9021899914787,1,False,28,21,0
2025-01-28 23:00:00,2763.323,2764.396,2762.833,2763.988,742,0,1.565714285714291,Hold,1,65.79451085685491,2.0037110585071787,,,2762.0918090831624,1,False,28,23,0
2025-01-28 23:15:00,2763.987,2764.223,2763.207,2763.498,524,0,1.532000000000023,Hold,1,62.32905715278124,1.8669413408615583,2.261032916872854,-0.3940915760112955,2762.2196446210564,1,False,28,23,0
2025-01-28 23:30:00,2763.492,2763.849,2762.931,2763.755,560,0,1.4036428571428785,Buy,1,63.4174024496034,1.7590113188784926,2.1606285972739814,-0.4016172783954888,2762.359222382778,1,False,28,23,0
2025-01-28 23:45:00,2763.774,2763.802,2762.713,2762.784,505,0,1.3292857142857233,Buy,1,56.7466993598628,1.5769463578503746,2.04389214938926,-0.4669457915388855,2762.3978385297983,1,False,28,23,0
2025-01-29 00:00:00,2762.781,2763.181,2762.314,2762.829,666,0,1.2916428571428955,Buy,1,56.97258384140721,1.4199217147902345,1.9190980624694551,-0.4991763476792206,2762.437035027089,2,False,29,0,0
2025-01-29 00:15:00,2762.864,2763.937,2762.683,2763.663,593,0,1.2910000000000377,Buy,1,61.03411599108226,1.3472451800298586,1.804727485981536,-0.4574823059516775,2762.548486388263,2,False,29,0,0
