time,open,high,low,close,tick_volume,spread,real_volume,H-L,H-PC,L-PC,TR,ATR,result
2025-01-28 14:00:00,2748.979,2751.374,2748.956,2751.02,3068,0,0,2.4179999999996653,,,2.4179999999996653,,Hold
2025-01-28 14:15:00,2750.979,2754.695,2750.074,2754.007,3240,0,0,4.621000000000095,3.675000000000182,0.9459999999999127,4.621000000000095,,Hold
2025-01-28 14:30:00,2754.041,2756.416,2752.98,2753.7,6339,0,0,3.436000000000149,2.4090000000001055,1.0270000000000437,3.436000000000149,,Hold
2025-01-28 14:45:00,2753.669,2755.886,2753.263,2753.616,4654,0,0,2.6230000000000473,2.186000000000149,0.43699999999989814,2.6230000000000473,,Hold
2025-01-28 15:00:00,2753.647,2755.467,2751.144,2755.258,4426,0,0,4.32300000000032,1.8510000000001128,2.4720000000002074,4.32300000000032,,Hold
2025-01-28 15:15:00,2755.213,2757.013,2754.489,2756.175,4646,0,0,2.5239999999998872,1.7550000000001091,0.7689999999997781,2.5239999999998872,,Hold
2025-01-28 15:30:00,2756.14,2757.203,2754.677,2756.63,3719,0,0,2.52599999999984,1.0279999999997926,1.4980000000000473,2.52599999999984,,Hold
2025-01-28 15:45:00,2756.652,2757.284,2754.987,2755.41,2393,0,0,2.2970000000000255,0.6539999999999964,1.643000000000029,2.2970000000000255,,Hold
2025-01-28 16:00:00,2755.405,2758.511,2755.328,2757.535,3381,0,0,3.1829999999999927,3.1010000000001128,0.08199999999987995,3.1829999999999927,,Hold
2025-01-28 16:15:00,2757.567,2758.283,2756.527,2757.504,3747,0,0,1.7559999999998581,0.7480000000000473,1.0079999999998108,1.7559999999998581,,Hold
2025-01-28 16:30:00,2757.508,2758.434,2755.302,2757.435,3207,0,0,3.132000000000062,0.930000000000291,2.201999999999771,3.132000000000062,,Hold
2025-01-28 16:45:00,2757.436,2759.777,2757.394,2758.749,2871,0,0,2.3830000000002656,2.3420000000000982,0.04100000000016735,2.3830000000002656,,Hold
2025-01-28 17:00:00,2758.724,2759.391,2757.748,2758.796,2465,0,0,1.643000000000029,0.6420000000002801,1.000999999999749,1.643000000000029,,Hold
2025-01-28 17:15:00,2758.784,2759.189,2757.935,2758.206,2343,0,0,1.2539999999999054,0.3930000000000291,0.8609999999998763,1.2539999999999054,2.7227857142857244,Buy
2025-01-28 17:30:00,2758.241,2759.284,2757.543,2758.615,2804,0,0,1.7409999999999854,1.0779999999999745,0.6630000000000109,1.7409999999999854,2.6744285714286042,Buy
2025-01-28 17:45:00,2758.564,2760.092,2757.77,2759.742,2956,0,0,2.3220000000001164,1.4770000000003165,0.8449999999997999,2.3220000000001164,2.51021428571432,Buy
2025-01-28 18:00:00,2759.773,2761.27,2759.266,2760.555,3172,0,0,2.0039999999999054,1.5279999999997926,0.4760000000001128,2.0039999999999054,2.4079285714285885,Buy
2025-01-28 18:15:00,2760.592,2760.898,2759.498,2759.854,2181,0,0,1.400000000000091,0.34300000000030195,1.056999999999789,1.400000000000091,2.3205714285714487,Buy
2025-01-28 18:30:00,2759.811,2763.198,2759.699,2762.688,2081,0,0,3.4989999999997963,3.344000000000051,0.15499999999974534,3.4989999999997963,2.2617142857142687,Buy
2025-01-28 18:45:00,2762.725,2763.627,2762.139,2762.274,1824,0,0,1.487999999999829,0.9389999999998508,0.5489999999999782,1.487999999999829,2.1877142857142644,Hold
2025-01-28 19:00:00,2762.233,2763.973,2761.258,2762.876,1941,0,0,2.7150000000001455,1.6990000000000691,1.0160000000000764,2.7150000000001455,2.2012142857142862,Hold
2025-01-28 19:15:00,2762.826,2764.317,2762.187,2764.109,1929,0,0,2.130000000000109,1.4409999999998035,0.6890000000003056,2.130000000000109,2.1892857142857207,Hold
2025-01-28 19:30:00,2764.062,2764.975,2763.581,2764.187,1575,0,0,1.393999999999778,0.8659999999999854,0.5279999999997926,1.393999999999778,2.0614999999999912,Hold
2025-01-28 19:45:00,2764.22,2765.091,2763.828,2764.908,1207,0,0,1.26299999999992,0.9039999999999964,0.3589999999999236,1.26299999999992,2.02628571428571,Hold
2025-01-28 20:00:00,2764.868,2765.149,2763.621,2764.874,1575,0,0,1.5279999999997926,0.24099999999998545,1.2869999999998072,1.5279999999997926,1.9117142857142622,Hold
2025-01-28 20:15:00,2764.831,2764.983,2762.467,2762.979,1637,0,0,2.5160000000000764,0.10900000000037835,2.406999999999698,2.5160000000000764,1.9212142857142485,Hold
2025-01-28 20:30:00,2763.018,2765.076,2762.913,2764.908,1851,0,0,2.163000000000011,2.0970000000002074,0.06599999999980355,2.163000000000011,1.9583571428571045,Hold
2025-01-28 20:45:00,2764.899,2765.132,2763.837,2764.249,2528,0,0,1.2950000000000728,0.22400000000016007,1.0709999999999127,1.2950000000000728,1.9612857142856879,Hold
2025-01-28 21:00:00,2764.282,2764.409,2762.982,2763.257,839,0,0,1.4270000000001346,0.16000000000030923,1.2669999999998254,1.4270000000001346,1.938857142857127,Hold
2025-01-28 21:15:00,2763.237,2763.808,2762.968,2763.264,606,0,0,0.8400000000001455,0.5509999999999309,0.28900000000021464,0.8400000000001455,1.8329999999999862,Hold
2025-01-28 21:30:00,2763.241,2763.844,2762.996,2763.811,452,0,0,0.8479999999999563,0.5799999999999272,0.2680000000000291,0.8479999999999563,1.7504285714285612,Hold
