time,open,high,low,close,tick_volume,spread,real_volume
2025-04-21 20:15:00,3421.063,3423.714,3420.903,3422.389,1309,0,0
2025-04-21 20:30:00,3422.408,3425.546,3421.571,3424.426,1137,0,0
2025-04-21 20:45:00,3424.42,3427.275,3423.85,3424.955,1126,0,0
2025-04-21 22:00:00,3423.972,3433.549,3423.972,3432.212,2000,0,0
2025-04-21 22:15:00,3432.253,3435.954,3430.889,3433.725,2427,0,0
2025-04-21 22:30:00,3433.773,3433.773,3428.874,3430.306,1661,0,0
2025-04-21 22:45:00,3430.282,3433.706,3428.203,3431.142,2281,0,0
2025-04-21 23:00:00,3431.176,3434.716,3429.439,3433.847,1981,0,0
2025-04-21 23:15:00,3433.883,3441.719,3433.883,3441.494,3754,0,0
2025-04-21 23:30:00,3441.582,3444.337,3439.891,3441.867,2941,0,0
2025-04-21 23:45:00,3441.907,3441.907,3431.802,3434.628,4667,0,0
2025-04-22 00:00:00,3434.604,3435.537,3412.26,3417.452,9288,0,0
2025-04-22 00:15:00,3417.409,3431.989,3415.49,3427.86,6933,0,0
2025-04-22 00:30:00,3427.872,3430.032,3418.698,3424.824,5616,0,0
2025-04-22 00:45:00,3424.899,3427.299,3422.038,3425.571,3876,0,0
2025-04-22 01:00:00,3425.583,3434.323,3421.644,3433.881,7062,0,0
2025-04-22 01:15:00,3433.847,3441.464,3432.271,3439.953,5595,0,0
2025-04-22 01:30:00,3439.919,3453.143,3437.731,3450.571,7304,0,0
2025-04-22 01:45:00,3450.508,3455.143,3448.459,3453.015,5987,0,0
2025-04-22 02:00:00,3453.061,3453.64,3442.514,3449.72,7231,0,0
2025-04-22 02:15:00,3449.723,3457.988,3449.666,3455.978,4010,0,0
2025-04-22 02:30:00,3455.929,3468.945,3453.448,3468.32,5225,0,0
2025-04-22 02:45:00,3468.337,3476.145,3466.455,3473.199,5985,0,0
2025-04-22 03:00:00,3473.172,3477.919,3472.145,3476.265,4705,0,0
