time,open,high,low,close,tick_volume,spread,real_volume
2025-01-28 14:00:00,2748.979,2751.374,2748.956,2751.02,3068,0,0
2025-01-28 14:15:00,2750.979,2754.695,2750.074,2754.007,3240,0,0
2025-01-28 14:30:00,2754.041,2756.416,2752.98,2753.7,6339,0,0
2025-01-28 14:45:00,2753.669,2755.886,2753.263,2753.616,4654,0,0
2025-01-28 15:00:00,2753.647,2755.467,2751.144,2755.258,4426,0,0
2025-01-28 15:15:00,2755.213,2757.013,2754.489,2756.175,4646,0,0
2025-01-28 15:30:00,2756.14,2757.203,2754.677,2756.63,3719,0,0
2025-01-28 15:45:00,2756.652,2757.284,2754.987,2755.41,2393,0,0
2025-01-28 16:00:00,2755.405,2758.511,2755.328,2757.535,3381,0,0
2025-01-28 16:15:00,2757.567,2758.283,2756.527,2757.504,3747,0,0
2025-01-28 16:30:00,2757.508,2758.434,2755.302,2757.435,3207,0,0
2025-01-28 16:45:00,2757.436,2759.777,2757.394,2758.749,2871,0,0
2025-01-28 17:00:00,2758.724,2759.391,2757.748,2758.796,2465,0,0
2025-01-28 17:15:00,2758.784,2759.189,2757.935,2758.206,2343,0,0
2025-01-28 17:30:00,2758.241,2759.284,2757.543,2758.615,2804,0,0
2025-01-28 17:45:00,2758.564,2760.092,2757.77,2759.742,2956,0,0
2025-01-28 18:00:00,2759.773,2761.27,2759.266,2760.555,3172,0,0
2025-01-28 18:15:00,2760.592,2760.898,2759.498,2759.854,2181,0,0
2025-01-28 18:30:00,2759.811,2763.198,2759.699,2762.688,2081,0,0
2025-01-28 18:45:00,2762.725,2763.627,2762.139,2762.274,1824,0,0
2025-01-28 19:00:00,2762.233,2763.973,2761.258,2762.876,1941,0,0
2025-01-28 19:15:00,2762.826,2764.317,2762.187,2764.109,1929,0,0
2025-01-28 19:30:00,2764.062,2764.975,2763.581,2764.187,1575,0,0
2025-01-28 19:45:00,2764.22,2765.091,2763.828,2764.908,1207,0,0
2025-01-28 20:00:00,2764.868,2765.149,2763.621,2764.874,1575,0,0
2025-01-28 20:15:00,2764.831,2764.983,2762.467,2762.979,1637,0,0
2025-01-28 20:30:00,2763.018,2765.076,2762.913,2764.908,1851,0,0
2025-01-28 20:45:00,2764.899,2765.132,2763.837,2764.249,2528,0,0
2025-01-28 21:00:00,2764.282,2764.409,2762.982,2763.257,839,0,0
2025-01-28 21:15:00,2763.237,2763.808,2762.968,2763.264,606,0,0
2025-01-28 21:30:00,2763.241,2763.844,2762.996,2763.811,452,0,0
2025-01-28 21:45:00,2763.783,2763.933,2763.183,2763.681,562,0,0
2025-01-28 23:00:00,2763.323,2764.396,2762.833,2763.988,742,0,0
2025-01-28 23:15:00,2763.987,2764.223,2763.207,2763.498,524,0,0
2025-01-28 23:30:00,2763.492,2763.849,2762.931,2763.755,560,0,0
2025-01-28 23:45:00,2763.774,2763.802,2762.713,2762.784,505,0,0
2025-01-29 00:00:00,2762.781,2763.181,2762.314,2762.829,666,0,0
2025-01-29 00:15:00,2762.864,2763.937,2762.683,2763.663,593,0,0
2025-01-29 00:30:00,2763.658,2764.623,2763.345,2764.487,922,0,0
2025-01-29 00:45:00,2764.503,2764.959,2763.831,2764.001,723,0,0
2025-01-29 01:00:00,2764.019,2766.257,2763.96,2765.392,1540,0,0
2025-01-29 01:15:00,2765.429,2765.959,2764.687,2765.68,2002,0,0
2025-01-29 01:30:00,2765.639,2766.351,2764.492,2764.562,1535,0,0
2025-01-29 01:45:00,2764.58,2765.132,2763.667,2763.881,1039,0,0
2025-01-29 02:00:00,2763.875,2765.731,2763.45,2765.056,1906,0,0
2025-01-29 02:15:00,2765.101,2765.44,2764.269,2764.703,1426,0,0
2025-01-29 02:30:00,2764.636,2765.678,2764.486,2764.785,1471,0,0
2025-01-29 02:45:00,2764.761,2765.5,2763.963,2764.288,1771,0,0
2025-01-29 03:00:00,2764.288,2764.58,2763.235,2763.489,1862,0,0
2025-01-29 03:15:00,2763.487,2763.822,2762.358,2763.384,1929,0,0
2025-01-29 03:30:00,2763.427,2763.722,2762.651,2763.194,1944,0,0
2025-01-29 03:45:00,2763.195,2763.584,2762.629,2762.854,1556,0,0
2025-01-29 04:00:00,2762.846,2763.069,2761.584,2761.66,2032,0,0
2025-01-29 04:15:00,2761.702,2763.716,2761.537,2763.619,2118,0,0
2025-01-29 04:30:00,2763.658,2764.436,2763.459,2763.728,1695,0,0
2025-01-29 04:45:00,2763.725,2763.848,2762.282,2762.51,1694,0,0
2025-01-29 05:00:00,2762.527,2762.974,2761.62,2762.823,1677,0,0
2025-01-29 05:15:00,2762.809,2763.138,2761.889,2762.229,1109,0,0
