time,open,high,low,close,tick_volume,spread,real_volume,result,H-L,H-PC,L-PC,TR,ATR
2025-04-21 20:15:00,3421.063,3423.714,3420.903,3422.389,1309,0,0,Hold,2.811000000000149,,,2.811000000000149,
2025-04-21 20:30:00,3422.408,3425.546,3421.571,3424.426,1137,0,0,Hold,3.974999999999909,3.156999999999698,0.818000000000211,3.974999999999909,
2025-04-21 20:45:00,3424.42,3427.275,3423.85,3424.955,1126,0,0,Hold,3.425000000000182,2.84900000000016,0.5760000000000218,3.425000000000182,
2025-04-21 22:00:00,3423.972,3433.549,3423.972,3432.212,2000,0,0,Hold,9.57699999999977,8.594000000000051,0.9829999999997199,9.57699999999977,
2025-04-21 22:15:00,3432.253,3435.954,3430.889,3433.725,2427,0,0,Hold,5.065000000000055,3.742000000000189,1.3229999999998654,5.065000000000055,
2025-04-21 22:30:00,3433.773,3433.773,3428.874,3430.306,1661,0,0,Hold,4.899000000000342,0.04800000000022919,4.851000000000113,4.899000000000342,
2025-04-21 22:45:00,3430.282,3433.706,3428.203,3431.142,2281,0,0,Hold,5.503000000000156,3.400000000000091,2.1030000000000655,5.503000000000156,
2025-04-21 23:00:00,3431.176,3434.716,3429.439,3433.847,1981,0,0,Hold,5.277000000000044,3.574000000000069,1.7029999999999745,5.277000000000044,
2025-04-21 23:15:00,3433.883,3441.719,3433.883,3441.494,3754,0,0,Hold,7.83600000000024,7.871999999999844,0.03599999999960346,7.871999999999844,
2025-04-21 23:30:00,3441.582,3444.337,3439.891,3441.867,2941,0,0,Hold,4.445999999999913,2.842999999999847,1.6030000000000655,4.445999999999913,
2025-04-21 23:45:00,3441.907,3441.907,3431.802,3434.628,4667,0,0,Hold,10.105000000000018,0.03999999999996362,10.065000000000055,10.105000000000018,
2025-04-22 00:00:00,3434.604,3435.537,3412.26,3417.452,9288,0,0,Hold,23.27699999999959,0.9089999999996508,22.367999999999938,23.27699999999959,
2025-04-22 00:15:00,3417.409,3431.989,3415.49,3427.86,6933,0,0,Hold,16.49900000000025,14.536999999999807,1.9620000000004438,16.49900000000025,
2025-04-22 00:30:00,3427.872,3430.032,3418.698,3424.824,5616,0,0,Buy,11.334000000000287,2.1720000000000255,9.162000000000262,11.334000000000287,8.147500000000036
2025-04-22 00:45:00,3424.899,3427.299,3422.038,3425.571,3876,0,0,Buy,5.260999999999967,2.474999999999909,2.786000000000058,5.260999999999967,8.322500000000023
2025-04-22 01:00:00,3425.583,3434.323,3421.644,3433.881,7062,0,0,Buy,12.679000000000087,8.751999999999953,3.9270000000001346,12.679000000000087,8.944214285714322
2025-04-22 01:15:00,3433.847,3441.464,3432.271,3439.953,5595,0,0,Buy,9.192999999999756,7.583000000000084,1.6099999999996726,9.192999999999756,9.356214285714291
2025-04-22 01:30:00,3439.919,3453.143,3437.731,3450.571,7304,0,0,Buy,15.411999999999807,13.190000000000055,2.2219999999997526,15.411999999999807,9.773000000000009
2025-04-22 01:45:00,3450.508,3455.143,3448.459,3453.015,5987,0,0,Buy,6.6840000000001965,4.572000000000116,2.11200000000008,6.6840000000001965,9.888642857142875
